Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,favorites,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks
5.41214E+17,https://twitter.com/dumpmon/status/541214023870873601,http://t.co/6GmbH2pyse Hashes: 1777 Keywords: 0.11 #infoleak,2014-12-06 12:54 +0000,3348,19,0.00567503,0,0,0,0,18,0,1,0
5.41211E+17,https://twitter.com/dumpmon/status/541211245152854016,http://t.co/lwiONqflQR Emails: 13 Hashes: 46 E/H: 0.28 Keywords: 0.22 #infoleak,2014-12-06 12:43 +0000,2760,19,0.006884058,0,0,0,0,17,0,2,0
5.41209E+17,https://twitter.com/dumpmon/status/541209433884618752,http://t.co/mClGVRHyk2 Emails: 94 Keywords: 0.0 #infoleak,2014-12-06 12:35 +0000,2756,21,0.007619739,0,0,0,0,20,0,1,0
5.41195E+17,https://twitter.com/dumpmon/status/541194668936290304,http://t.co/GZFVXPIMsl Emails: 22 Keywords: 0.22 #infoleak,2014-12-06 11:37 +0000,3196,18,0.00563204,0,0,0,2,16,0,0,0
5.41194E+17,https://twitter.com/dumpmon/status/541193936363331584,http://t.co/sdjSVQS8IQ Emails: 52 Keywords: 0.0 #infoleak,2014-12-06 11:34 +0000,3176,23,0.007241814,0,0,0,0,21,0,2,0
5.41192E+17,https://twitter.com/dumpmon/status/541191752661860352,http://t.co/TMwuW4aCK3 Emails: 10000 Keywords: 0.33 #infoleak,2014-12-06 11:25 +0000,3252,36,0.011070111,0,0,0,0,34,0,2,0
5.41186E+17,https://twitter.com/dumpmon/status/541186450025635840,http://t.co/dCdS2jjy5c Emails: 129 Keywords: 0.0 #infoleak,2014-12-06 11:04 +0000,3389,23,0.006786663,0,0,0,1,22,0,0,0
5.4117E+17,https://twitter.com/dumpmon/status/541170272418947074,http://t.co/EIqlgS0XA1 Emails: 1515 Keywords: 0.22 #infoleak,2014-12-06 10:00 +0000,3946,32,0.008109478,0,0,0,0,31,0,1,0
5.41162E+17,https://twitter.com/dumpmon/status/541162465292468225,http://t.co/dFlHmafUHJ Emails: 2366 Keywords: 0.08 #infoleak,2014-12-06 09:29 +0000,3902,43,0.01101999,0,0,0,0,40,0,3,0
5.41161E+17,https://twitter.com/dumpmon/status/541161108477063168,http://t.co/aOkmKjMsiQ Hashes: 61 Keywords: 0.08 #infoleak,2014-12-06 09:23 +0000,3894,9,0.002311248,0,0,0,0,9,0,0,0
5.41151E+17,https://twitter.com/dumpmon/status/541151408679305216,http://t.co/GyFpnBorOq Emails: 22 Keywords: 0.3 #infoleak,2014-12-06 08:45 +0000,3952,18,0.004554656,0,0,0,0,18,0,0,0
5.41141E+17,https://twitter.com/dumpmon/status/541141396800167936,http://t.co/oq7PpWGnrw Possible cisco configuration #infoleak,2014-12-06 08:05 +0000,4314,10,0.002318034,0,0,0,0,9,0,0,1
5.41141E+17,https://twitter.com/dumpmon/status/541141390882004993,http://t.co/NG07FrYh3H Possible cisco configuration #infoleak,2014-12-06 08:05 +0000,4267,7,0.001640497,0,0,0,0,7,0,0,0
5.41141E+17,https://twitter.com/dumpmon/status/541141385022562304,http://t.co/jWtGBj4HH0 Possible cisco configuration #infoleak,2014-12-06 08:05 +0000,4064,7,0.001722441,0,0,0,0,7,0,0,0
5.41138E+17,https://twitter.com/dumpmon/status/541137934578360320,http://t.co/xMYmzIcCZU Emails: 9892 Keywords: -0.03 #infoleak,2014-12-06 07:51 +0000,4087,36,0.008808417,1,0,0,1,31,0,2,0
5.41128E+17,https://twitter.com/dumpmon/status/541128123065315328,http://t.co/cndvmk4yJD Emails: 75 Keywords: 0.11 #infoleak,2014-12-06 07:12 +0000,4302,19,0.00441655,0,0,0,0,19,0,0,0
5.41115E+17,https://twitter.com/dumpmon/status/541115160224862208,http://t.co/ohS2IVfbXb Found possible Google API key(s) #infoleak,2014-12-06 06:21 +0000,4600,8,0.00173913,0,0,0,0,8,0,0,0
5.41098E+17,https://twitter.com/dumpmon/status/541098274569326593,http://t.co/3s9xu0azPY Hashes: 79 Keywords: 0.0 #infoleak,2014-12-06 05:14 +0000,4949,14,0.002828854,0,0,0,4,9,0,1,0
5.41089E+17,https://twitter.com/dumpmon/status/541089066914414592,http://t.co/qvhKcjLBBy Emails: 93 Keywords: 0.0 #infoleak,2014-12-06 04:37 +0000,5170,25,0.00483559,0,0,0,0,25,0,0,0
5.41083E+17,https://twitter.com/dumpmon/status/541083189117485056,http://t.co/MG82IucBGj Keywords: 0.55 #infoleak,2014-12-06 04:14 +0000,5186,9,0.001735442,0,0,0,0,8,1,0,0
5.41083E+17,https://twitter.com/dumpmon/status/541082805212815360,http://t.co/PrLkIs5XFt Emails: 150 Keywords: 0.11 #infoleak,2014-12-06 04:12 +0000,4977,20,0.004018485,0,0,0,0,20,0,0,0
5.4108E+17,https://twitter.com/dumpmon/status/541080067875823617,http://t.co/jnhoycns9n Emails: 496 Keywords: 0.0 #infoleak,2014-12-06 04:01 +0000,4969,23,0.004628698,0,0,0,0,22,0,1,0
5.41076E+17,https://twitter.com/dumpmon/status/541075782152765441,http://t.co/DEbUlMpAsJ Found possible Google API key(s) #infoleak,2014-12-06 03:44 +0000,5065,7,0.001382034,0,0,0,0,7,0,0,0
5.4107E+17,https://twitter.com/dumpmon/status/541069800093794304,http://t.co/IpfpSmgMIT Emails: 1006 Keywords: 0.22 #infoleak,2014-12-06 03:21 +0000,4797,36,0.00750469,1,0,0,1,32,0,2,0
5.41068E+17,https://twitter.com/dumpmon/status/541068359308439552,http://t.co/CwM92VSBtI Emails: 497 Keywords: 0.0 #infoleak,2014-12-06 03:15 +0000,4764,19,0.003988245,0,0,0,0,19,0,0,0
5.4106E+17,https://twitter.com/dumpmon/status/541059838760218624,http://t.co/qk54YosjOu Emails: 89 Keywords: 0.0 #infoleak,2014-12-06 02:41 +0000,4961,20,0.004031445,0,0,0,0,20,0,0,0
5.41058E+17,https://twitter.com/dumpmon/status/541058182177910784,http://t.co/2xCbC7fTpZ Emails: 499 Keywords: 0.0 #infoleak,2014-12-06 02:34 +0000,4841,21,0.004337947,0,0,0,0,21,0,0,0
5.41057E+17,https://twitter.com/dumpmon/status/541057358857007104,http://t.co/HUyd7oHULz Emails: 835 Keywords: 0.22 #infoleak,2014-12-06 02:31 +0000,4300,28,0.006511628,0,0,0,1,25,0,1,0
5.41056E+17,https://twitter.com/dumpmon/status/541055741520785410,http://t.co/UwO0RfV47m Emails: 498 Keywords: 0.0 #infoleak,2014-12-06 02:25 +0000,4083,22,0.005388195,0,0,0,0,22,0,0,0
